1620468191.806		51059	23148	35	27659	217	50705	18	0	71	0
1620468192.782		47484	26209	89	20841	345	46825	18	0	71	0
1620468193.714		50697	24465	91	25800	341	50039	18	0	71	0
1620468194.609		58789	29641	86	28680	382	58069	18	0	71	0
1620468195.470		59049	28181	84	30422	362	58392	18	0	71	0
1620468196.300		55111	28142	99	26478	392	54375	18	0	71	0
1620468197.104		93904	74706	83	18760	355	93255	18	0	71	0
1620468197.882		42925	18862	89	23614	360	42308	18	0	71	0
1620468198.637		49927	24858	78	24618	373	49225	18	0	71	0
1620468199.374		42134	23317	80	18374	363	41499	18	0	71	0
1620468200.090		40372	16815	100	23033	424	39625	18	0	71	0
1620468200.788		49409	29918	95	19023	373	48746	18	0	71	0
1620468201.470		59859	36722	84	22653	400	59162	18	0	71	0
1620468202.137		49799	19415	107	29812	465	48978	18	0	71	0
1620468202.788		46720	29657	39	16869	155	46442	18	0	71	0
1620468203.428		51435	30157	31	21063	184	51122	18	0	71	0
1620468204.055		41347	16123	42	24802	380	40825	18	0	71	0
1620468204.669		50976	29569	86	20943	378	50306	18	0	71	0
1620468205.272		47201	26001	87	20741	372	46497	18	0	71	0
1620468205.864		51931	24683	106	26755	387	51230	18	0	71	0
1620468206.447		61618	29447	98	31548	525	60781	18	0	71	0
1620468207.019		50999	29544	81	20923	451	50272	18	0	71	0
1620468207.583		52070	25242	100	26365	363	51395	18	0	71	0
1620468208.137		100021	68346	94	31216	365	99362	18	0	71	0
1620468208.684		58432	24226	77	33723	406	57754	18	0	71	0
1620468209.222		36245	19553	89	16150	453	35505	18	0	71	0
1620468209.753		50329	25614	90	24207	418	49617	18	0	71	0
1620468210.276		32692	15796	92	16377	427	31981	18	0	71	0
1620468210.793		49828	19627	86	29687	428	49108	18	0	71	0
1620468211.302		44859	19574	109	24789	387	44125	18	0	71	0
1620468211.806		161660	23131	83	137985	461	160909	18	0	71	0
1620468212.302		39959	19869	92	19558	440	39221	18	0	71	0
1620468212.793		39651	18687	86	20498	380	38996	18	0	71	0
1620468213.278		39900	18584	81	20670	565	39047	18	0	71	0
1620468213.758		78229	43332	27	34733	137	77972	18	0	71	0
1620468214.232		46291	26524	29	19602	136	46044	18	0	71	0
1620468214.701		54421	27350	86	26585	400	53738	18	0	71	0
1620468215.164		39659	22487	81	16649	442	38958	18	0	71	0
1620468215.623		43804	24887	79	18421	417	43106	18	0	71	0
1620468216.077		61294	32498	86	28195	515	60449	18	0	71	0
1620468216.527		39964	19847	88	19648	381	39293	18	0	71	0
1620468216.972		76285	55582	70	20340	293	75728	18	0	71	0
1620468217.413		44626	25788	79	18379	380	43939	18	0	71	0
1620468217.849		80479	17657	87	62343	392	79799	18	0	71	0
1620468218.281		42094	21073	77	20515	429	41414	18	0	71	0
1620468218.709		39006	17505	79	20381	1041	37682	18	0	71	0
1620468219.134		37976	18282	79	19246	369	37354	18	0	71	0
1620468219.555		42648	23604	52	18746	246	42224	18	0	71	0
1620468219.972		64743	26416	90	37890	347	64098	18	0	71	0
1620468220.384		49647	24642	81	24454	470	48895	18	0	71	0
1620468220.795		92904	59689	79	32658	478	92132	18	0	71	0
1620468221.201		41021	20293	84	20151	493	40251	18	0	71	0
